_id,userId,credentialsID,driveLink,organization,expireDate,issueDate,durationInWeeks,skills
6613d5a19d949ae738fc98ea,6613bc129d949ae738fc75c2,OtjepMjJhdhSVdrLvZcEHTWAnVRYKedH,http://dennis-richardson.com/,"Gutierrez, Torres and Arnold",2025-03-24,2024-02-07,38,Slides
6613d5a19d949ae738fc98eb,6613bc129d949ae738fc75c2,RFNvFVrnVdqJfPoOUZVburWRbvARqjSU,https://bowman.org/,Lucas LLC,2025-03-11,2023-05-24,6,Project Mgmt
6613d5a19d949ae738fc98ec,6613bc129d949ae738fc75c2,UgiVAbMcwxUotwfKKDKWVdyVPZrnZPnr,https://www.cervantes-green.org/,Garcia-Mcdonald,2025-02-07,2023-05-28,9,PHP
6613d5a19d949ae738fc98ed,6613bc129d949ae738fc75c2,WKTeVXjcVwcpRVmPJEVebqnfTWIwIBcu,http://anderson.com/,Morris LLC,2024-06-04,2023-06-10,28,PHP
6613d5a19d949ae738fc98ee,6613bc129d949ae738fc75c3,dLSZSkrnkUbOrSiShdrHDYOGfAvAwdfE,https://www.nash-gates.biz/,Reed LLC,2024-12-20,2023-11-02,39,AWS
6613d5a19d949ae738fc98ef,6613bc129d949ae738fc75c3,YplbUHCPcgpSbijdrgCOMLdnpKsWHgbG,http://powell-pham.biz/,Mitchell-Trujillo,2024-08-10,2023-09-07,17,Presenting
6613d5a19d949ae738fc98f0,6613bc129d949ae738fc75c3,hsWSVOutgQTHzIkfslQAkudSDgHVAHlf,https://www.sanders.net/,Collins-Rivas,2025-02-28,2023-07-19,27,Python
6613d5a19d949ae738fc98f1,6613bc129d949ae738fc75c3,nIGJJGdzNpUvzhNnBNsXJPDRRhMDHijU,https://montgomery.info/,"Glass, Carrillo and Herrera",2024-06-07,2023-08-01,25,Snowflake
6613d5a19d949ae738fc98f2,6613bc129d949ae738fc75c4,hGBziFlNkqPpOfHWatJQUBzbgERTovXE,http://www.bowen-luna.info/,Velazquez Group,2025-02-12,2024-01-02,41,Project Mgmt
6613d5a19d949ae738fc98f3,6613bc129d949ae738fc75c4,CcoAewqrRDMjRvsfJXfAqBSJwrieaWFD,https://norris.com/,Orozco PLC,2024-08-02,2023-12-14,21,Project Mgmt
6613d5a19d949ae738fc98f4,6613bc129d949ae738fc75c4,GLMJdCcfoTlEXShFcGBtdmObifURbSXL,https://arnold.org/,Lopez Inc,2024-11-11,2023-08-26,17,Power BI
6613d5a19d949ae738fc98f5,6613bc129d949ae738fc75c4,hOzeqZwUGGiBXHzNufnxTPaIUmTiUKHO,https://sanders.com/,"Butler, Lyons and Stevens",2024-05-09,2024-01-18,25,ADF
6613d5a29d949ae738fc98f6,6613bc129d949ae738fc75c5,sHOxGwYpiZvaBDxqVfddovVTQBUkByLT,https://www.carter.com/,Turner Inc,2024-09-21,2024-02-04,45,ADF
6613d5a29d949ae738fc98f7,6613bc129d949ae738fc75c5,bgZBfrEwmoYEhGMnPHJNWXEWNnlAhuzN,https://ramos.com/,"Soto, Smith and Macdonald",2024-10-19,2024-02-25,4,React
6613d5a29d949ae738fc98f8,6613bc129d949ae738fc75c5,XJOjQcMLchpJocuwvTFqJHRYQhtuYdfi,https://green-kelly.com/,Nelson-Tyler,2024-10-26,2023-09-10,12,Angular
6613d5a29d949ae738fc98f9,6613bc129d949ae738fc75c5,tJKdKKHzyhEnPLGidalgVtgYyPkZRjEm,https://www.molina.com/,Walters-Lester,2024-08-27,2024-02-15,2,Slides
6613d5a29d949ae738fc98fa,6613bc129d949ae738fc75c6,ixZWdthkyDWLPGMWRBMMAGrZJLZRxmfp,http://hinton.biz/,"Mullins, Reyes and Powell",2025-02-09,2023-11-30,13,React Native
6613d5a29d949ae738fc98fb,6613bc129d949ae738fc75c6,LOeHXnuaEAbGFnVmOKgEfXZTNYzQTpir,http://jones-coleman.info/,Boyd Inc,2025-04-06,2023-04-25,34,Power BI
6613d5a29d949ae738fc98fc,6613bc129d949ae738fc75c6,YwFrrdzCEXwerpNsvgqAGaSOjfpuLwlh,http://www.murray.info/,Clarke Inc,2024-09-02,2023-10-01,46,Presenting
6613d5a29d949ae738fc98fd,6613bc129d949ae738fc75c6,BEdoRgqzlfFIaFKrGvArXblnTuozgKQq,http://www.burke.net/,Rivera-Pham,2024-10-08,2023-11-13,48,ADF
6613d5a29d949ae738fc98fe,6613bc129d949ae738fc75c7,OElLlrfduIWHoiCmQbhpZMUvUHDNJfRm,http://schmidt.com/,"Patterson, Brooks and Cox",2024-10-29,2023-09-21,32,Project Mgmt
6613d5a29d949ae738fc98ff,6613bc129d949ae738fc75c7,AtRXYDmIofOLIxrdsFhEjDnHuYRppNDu,http://white.net/,Gutierrez PLC,2025-01-14,2023-07-01,25,React Native
6613d5a29d949ae738fc9900,6613bc129d949ae738fc75c7,VATQDSftMucvIxvsUsMpampjpxFkIRQJ,https://werner-davis.com/,"Dunn, King and Reed",2024-07-31,2024-02-29,7,Power BI
6613d5a29d949ae738fc9901,6613bc129d949ae738fc75c7,HJlvXUgbWoTQIukURIvxJYnZuCCJDyzf,https://www.hall.org/,Stephenson Group,2024-10-23,2023-04-21,35,Slides
6613d5a29d949ae738fc9902,6613bc129d949ae738fc75c8,sdASNBROSvXhsRJIuNQUvVqZJEKGpmLF,https://www.burke.com/,Russell and Sons,2024-05-29,2023-07-28,26,Project Mgmt
6613d5a29d949ae738fc9903,6613bc129d949ae738fc75c8,nSrepjJZnNUzZeXxJEFgwqvKiNCDJlpv,https://jackson.com/,Nguyen Inc,2024-06-04,2023-06-15,24,Slides
6613d5a29d949ae738fc9904,6613bc129d949ae738fc75c8,GJkiLhOSeLOYRUQJQGnKfviujiJcfAQs,https://www.larson.com/,Smith-Horn,2025-04-04,2023-10-29,36,Power BI
6613d5a29d949ae738fc9905,6613bc129d949ae738fc75c8,gzgrJUeLOAphKvwXWDVtkGbLOAZlnUcR,http://www.haney.org/,"Parker, Saunders and Robinson",2024-11-26,2024-02-07,31,ADF
6613d5a29d949ae738fc9906,6613bc129d949ae738fc75c9,qvmUCGAFTfxOlMBxuxnthozUmmHlHOVa,https://www.walker.com/,Roy-White,2024-12-30,2023-07-14,29,React Native
6613d5a29d949ae738fc9907,6613bc129d949ae738fc75c9,nuWvOVqXNxnuZytxURBslbGkbZLxaVko,https://www.tucker.com/,Lee-Green,2024-11-18,2023-12-31,13,Project Mgmt
6613d5a29d949ae738fc9908,6613bc129d949ae738fc75c9,GFCjDXxOJNkxosydWoYpKHorpvWokvyl,http://baker.com/,"Dawson, Miller and Holmes",2024-11-02,2024-03-27,28,ADF
6613d5a29d949ae738fc9909,6613bc129d949ae738fc75c9,kfTWHIMkPRtwebiidTAjaNAcNEQeTcjd,http://www.grant.com/,Fields Ltd,2025-02-05,2023-08-08,28,Angular
6613d5a29d949ae738fc990a,6613bc129d949ae738fc75ca,TvpEYiHcGdSVnWVKgcuMKtKyCZyHQcZe,https://sanford.com/,"Larson, Jones and Hood",2024-10-31,2023-11-03,39,Snowflake
6613d5a29d949ae738fc990b,6613bc129d949ae738fc75ca,swKqqJCQrWMFtGKhopjRWMbxaJTYRHOu,http://reilly-shannon.com/,"Ross, Francis and Garcia",2025-03-03,2023-11-27,4,PHP
6613d5a29d949ae738fc990c,6613bc129d949ae738fc75ca,OrMtobVIEMlPaVriAkiCfhYDHZNpNkpi,http://www.davis.info/,Gonzalez-Taylor,2024-06-03,2023-09-19,48,React Native
6613d5a29d949ae738fc990d,6613bc129d949ae738fc75ca,yqMiKQsTGRLUAvptjqiDZyYFSGzGKKmp,https://www.miller.com/,"Montoya, Anderson and Elliott",2024-09-07,2024-03-11,34,Presenting
6613d5a29d949ae738fc990e,6613bc129d949ae738fc75cb,tJbFtlAProJZrMYBLUMckBIJpKgyodLM,https://www.harding.info/,"Hill, Daniels and Moreno",2025-01-25,2023-07-30,6,React Native
6613d5a29d949ae738fc990f,6613bc129d949ae738fc75cb,YECdHLabOmIwtIlrStlwNidyvbjmEZAI,http://house.org/,Carroll-Cook,2024-08-27,2023-10-31,16,Presenting
6613d5a29d949ae738fc9910,6613bc129d949ae738fc75cb,eIHUqjGlgQSSqOBLSLbRmczdOpDXAkZS,https://www.patrick-bradshaw.com/,Ingram and Sons,2024-05-28,2024-02-03,42,Slides
6613d5a29d949ae738fc9911,6613bc129d949ae738fc75cb,OzFvmfybtYzfWFLTxnQbAJIQlRugXbot,https://www.daniels-jackson.com/,"David, Dunn and Watkins",2024-08-02,2024-01-18,33,React
6613d5a29d949ae738fc9912,6613bc129d949ae738fc75cc,HGvYBLmEeUyXgFKdjlPsBLvDOonZSYJU,http://www.long.org/,Mitchell-Wiley,2024-11-11,2023-06-29,41,Alteryx
6613d5a29d949ae738fc9913,6613bc129d949ae738fc75cc,IxsaaOwxyfZDQconUlCbRwEeBYIdozUt,https://mccoy-olson.info/,Gomez-Perez,2024-08-29,2024-02-03,2,ADF
6613d5a29d949ae738fc9914,6613bc129d949ae738fc75cc,PLLpmvUpeDZTjpOGZNDtGSFetDkhaFEo,http://www.humphrey.com/,Cook-Powell,2025-03-03,2023-10-01,22,Snowflake
6613d5a29d949ae738fc9915,6613bc129d949ae738fc75cc,EvkvgKqQVXUtKaoNbfQfIlIRqxTMnTzJ,http://patterson-abbott.org/,Wheeler LLC,2025-01-15,2023-11-04,5,PHP
6613d5a29d949ae738fc9916,6613bc139d949ae738fc75cd,YUscCtkoqjLLMeSqGKgXOYCxWMJltUPS,https://www.singh-perez.net/,Williams-Holland,2024-12-18,2023-08-13,34,Slides
6613d5a29d949ae738fc9917,6613bc139d949ae738fc75cd,QwBjTkMjDPVvaOWrMKpfJKdfosMunxLQ,https://christian.net/,"Adams, Thompson and Foster",2024-11-21,2023-11-24,45,Angular
6613d5a29d949ae738fc9918,6613bc139d949ae738fc75cd,wKnObegetaUuCFOshIQydGRoUCfcRPxk,http://www.hughes.com/,Bell-Hobbs,2024-12-03,2024-01-09,14,Project Mgmt
6613d5a29d949ae738fc9919,6613bc139d949ae738fc75cd,FENvSkvNDtszmLMipWgPWrkYNISqcaMD,http://www.lynn.com/,Rogers-Adams,2025-03-09,2023-09-24,25,AWS
6613d5a29d949ae738fc991a,6613bc139d949ae738fc75ce,PslHmXwwWJpaxyvyyQuTGCiysBwypHEl,http://www.rodriguez.biz/,Martinez-Howard,2025-02-28,2023-05-15,34,Power BI
6613d5a29d949ae738fc991b,6613bc139d949ae738fc75ce,oRnRroVGgQJpTjSHCRcYwiTLbjbCncXH,http://archer.com/,Mcbride-Graham,2025-03-18,2023-04-14,4,React Native
6613d5a29d949ae738fc991c,6613bc139d949ae738fc75ce,NBxBZtbwczHsiwLVHEjFSfaXYOUOHCBs,http://pope-olson.com/,"Hayes, Collins and Salinas",2024-12-23,2024-01-18,25,AWS Lambda
6613d5a29d949ae738fc991d,6613bc139d949ae738fc75ce,RFzfTAvzeIpvhWQnyRhHKhAZAeVohtzJ,https://hays-mclaughlin.info/,Cruz PLC,2024-06-16,2023-07-06,38,Presenting
6613d5a29d949ae738fc991e,6613bc139d949ae738fc75cf,YtToTvrhJfVxEaoMcWDRZJJqhLCYhzLO,https://www.perez.com/,"Harvey, Buck and Aguilar",2024-12-05,2023-08-07,42,Slides
6613d5a29d949ae738fc991f,6613bc139d949ae738fc75cf,GfYNyTxnHYmDgrnHJNLXmEHIBcjjVlvI,https://avila-atkinson.info/,Stone-Marquez,2024-06-30,2024-03-31,30,Project Mgmt
6613d5a29d949ae738fc9920,6613bc139d949ae738fc75cf,alXUabhCxoFhqHSxBlNvIwUheZMluffm,http://www.davis.com/,French LLC,2024-10-12,2024-03-13,7,AWS Lambda
6613d5a29d949ae738fc9921,6613bc139d949ae738fc75cf,pBJmobSdzyjPwpbzFCnWdQkaPmGZFzOo,http://burton.com/,"Aguilar, Williams and Boyle",2025-02-14,2023-10-31,9,ADF
